新聞社, ARI_AVE, ARI_VAR, CLI_AVE, CLI_VAR, FKG_AVE, FKG_VAR, TOEIC_AVE, TOEIC_SD_AVE, SVL_AVE, SVL_AVE_VAR, SVL_SD_AVE
Mainichi, 12.128434145162384, 10.288636258708294,11.637729813655818, 2.7547901805479573,11.605145922310703, 7.08242431103369,312.67785719393754, 153.23574703943572,2.210196132349294, 0.10498207565489708, 2.0232995585792413
Cnn, 10.741841871354215, 256.584510924801,11.179635675770928, 1.726507656104299,10.74589836739122, 155.35063043660213,317.3232931817867, 160.58572985465867,2.2926555958312176, 0.07166757042801487, 2.1093732225946726
Bbc, 10.557302612646463, 19.458503231298465,11.156168909800634, 2.441569904616643,10.280989955765078, 12.91092494994656,303.2952250626819, 147.96260399666684,2.0718008448624285, 0.08159026253236079, 1.8950036126271792
Voa, 12.824901701892067, 7.125562701859646,12.148686706810375, 1.667490781672476,12.670481758589466, 4.8489849917441425,318.99561328309477, 159.80517257800955,2.3260887044670846, 0.06716155436964469, 2.097412417542569
Thejapantimes, 12.64714881416211, 8.297702879107135,11.58981865044996, 2.298591462261361,12.017399048995825, 6.116987229870079,315.31123472474496, 156.15013284344388,2.2575204366065478, 0.09153495439691735, 2.0643457274448953
Asahi, 17.594365104068487, 20.093637299045625,12.918503769323182, 6.334055929080973,15.958000979791118, 15.143169649439676,304.6401209383893, 142.64038928027088,2.103838660463357, 0.17634115437545567, 1.8796255269348079
TimePaper, 11.941622568362595, 12.578430263974573,11.440830716994574, 2.468172773615711,11.611341166279166, 7.660858166606629,310.2323687115417, 155.522294607054,2.2017415087843437, 0.09012165942610367, 2.042497019706733
NewYorkTimes, 12.010812429318321, 8.338710629845634,11.268780826738062, 2.439220151724214,11.768002948259802, 6.007347408141608,319.94384393312583, 158.7768959109535,2.339386138780144, 0.0780665625004798, 2.1066031715598155
