新聞社, カテゴリ, 件数, CLI_AVE, CLI_VAR, FKG_AVE, FKG_VAR, SVL_AVE_AVE, SVL_AVE_VAR, TOEIC_AVE_AVE, TOEIC_AVE_VAR, SVLの平均単語数, 平均単語数
MAINICHI, business, 125, 12.529499949420007, 1.2023824167414505, 13.126546685491393, 6.355986780430864, 2.326513256404936, 0.04965286955152716, 323.20612678125957, 254.80943730698587, 170.312, 198.96
MAINICHI, world, 167, 12.715714735564607, 1.6954566910741986, 12.762097803511102, 3.739414169877988, 2.3920851697255743, 0.07194495552239652, 322.3778527479441, 343.6982571626073, 195.16167664670658, 230.61676646706587
MAINICHI, sports, 132, 10.258956131740373, 1.9591020704902242, 9.863435112465979, 3.0914561125732685, 1.9488046895620903, 0.07866127139068833, 293.94044796044784, 363.316768436065, 158.8409090909091, 201.3409090909091
MAINICHI, arts entertainment, 155, 11.00891138068311, 1.7716107749886447, 10.708055739235704, 8.09690542629757, 2.1514808264854595, 0.10134082392507045, 310.1786404807457, 486.05477220753664, 164.6451612903226, 205.69032258064516
MAINICHI, arts entertainment2, 12, 10.635249329848534, 3.640720804005289, 10.402541398817624, 4.020612760604262, 2.100982224683653, 0.06827033721689357, 306.40982831319644, 329.6349206121701, 179.91666666666666, 218.08333333333334
CNN, World europe, 45, 11.826481536160935, 1.559196955707837, 11.382667145702575, 2.233028891477777, 2.370316894682061, 0.07621382140261386, 323.3079071693953, 344.51653092296783, 290.75555555555553, 347.8222222222222
CNN, World world, 90, 11.716723876897577, 1.7352693215970634, 11.189118282134835, 4.138501722645273, 2.335725094840423, 0.07820221092684204, 320.97361084835285, 387.23208371965245, 258.15555555555557, 303.6777777777778
CNN, World asia, 37, 11.453473471481137, 0.8594392277050827, 10.92607736137287, 2.9304374656147028, 2.2659875659710793, 0.0653122655798089, 314.90289091115443, 320.9286719676002, 252.78378378378378, 290.6756756756757
CNN, World health, 6, 11.625714933544948, 1.6530244853063394, 10.774280367515535, 5.144923105031954, 2.294279477652538, 0.05000966552643948, 313.53671339796733, 242.47407917730268, 259.0, 293.6666666666667
CNN, World motorsport, 1, 11.3003456221198, 0.0, 10.258798816568, 0.0, 2.0, 0.0, 300.588235294118, 0.0, 172.0, 199.0
CNN, World middleeast, 37, 11.358259209828281, 0.9136526048417882, 10.91467866717809, 2.3885114546035977, 2.412148802070467, 0.04944269950961097, 324.98170752786217, 163.91376721886854, 283.94594594594594, 336.2432432432432
CNN, World americas, 10, 11.602916930507007, 0.7762888097633033, 11.311950189898786, 4.5789053610155666, 2.37707095040657, 0.046690820089427015, 323.45904011480803, 246.5610208755288, 277.5, 320.7
CNN, World living, 8, 10.877311670113837, 1.1874103986053157, 10.72805853987518, 6.884134172497853, 2.327063334133349, 0.04254003288842287, 315.316753938912, 143.79107369982302, 331.25, 378.5
CNN, World travel, 23, 11.159766553814455, 0.7373347612286172, 10.2990190321624, 3.5879466824052595, 2.3442855236756914, 0.0716346567291342, 322.81155535966246, 287.34033045694906, 291.95652173913044, 356.39130434782606
CNN, World opinion, 33, 12.106904223308451, 1.2394036988750041, 11.858761578943888, 4.14392507364936, 2.5994647635208206, 0.055774354004856086, 335.2540699859106, 308.13624867452575, 356.09090909090907, 411.72727272727275
CNN, World opinions, 1, 11.9763957597173, 0.0, 7.84594268476621, 0.0, 2.35537190082645, 0.0, 316.95652173913, 0.0, 121.0, 157.0
CNN, World tech, 14, 11.26128755410495, 0.8181112073470168, 11.02154872859571, 4.052095930758505, 2.291595754795717, 0.017159936376133444, 318.293297309007, 78.29162509505804, 278.0, 314.7857142857143
CNN, World intl_travel, 1, 12.1547464940669, 0.0, 9.64921538461538, 0.0, 2.37007874015748, 0.0, 320.401606425703, 0.0, 254.0, 322.0
CNN, World Sport sport, 77, 10.143963215273791, 1.3475996290744523, 10.065861278184503, 3.332531247783885, 2.1796336739351774, 0.04468990580667096, 309.1718918310377, 245.2684165283582, 289.97402597402595, 340.85714285714283
