カテゴリ, 件数, CLI_AVE, CLI_VAR, FKG_AVE, FKG_VAR, SVL_AVE_AVE, SVL_AVE_VAR, TOEIC_AVE_AVE, TOEIC_AVE_VAR, SVLの平均単語数, 平均単語数
world, 3674, 12.053460148574125, 1.7470357856343164, 12.103352868851573, 6.111614910204915, 2.31772581864972, 0.08449563046969205, 318.25547674473734, 395.8512028571282, 194.125748502994, 227.30484485574306
sports, 2111, 10.413303458303554, 2.7926092631229844, 9.779109428933399, 18.682365599061235, 1.9758659424156773, 0.07076392637910292, 296.4626289226338, 353.84052167911295, 167.06916153481762, 207.64424443391758
business, 1828, 11.64873276721543, 1.8206121013465462, 11.578571918785734, 6.709284237371591, 2.2592130348934574, 0.06674861459186414, 316.58397265594283, 369.5004512600869, 190.4617067833698, 223.85612691466082
science, 330, 11.732391130256417, 1.7074373137219627, 11.816877146275488, 4.6068355586175604, 2.2597897846150956, 0.07056663771432109, 311.63978012198754, 366.8327716391467, 203.34242424242424, 234.9090909090909
technology, 522, 11.573470558510724, 1.9893568266168191, 11.40376166684753, 5.746121915191455, 2.2139297292199926, 0.0698350998149677, 313.2639327472342, 372.33738796976684, 197.86206896551724, 226.77777777777777
entertainment, 913, 10.929590104899402, 2.6203343693486127, 11.20637097629869, 141.49324051899035, 2.082686840380087, 0.08952001552360962, 304.0816277025822, 456.9942838677897, 145.67469879518072, 177.98466593647316
, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
